"# This file contains the energy consumption and yields of your device ""aroTHERM plus"" with serial 21222500100211330001005519N3 exported at 2024-07-13 19:55:28.",,,,,,,,,
# All values are given in Watt hours (Wh),,,,,,,,,
DateTime,,EarnedEnvironmentEnergy:Heating,EarnedEnvironmentEnergy:DomesticHotWater,ConsumedElectricalEnergy:Heating,ConsumedElectricalEnergy:DomesticHotWater,HeatGenerated:Heating,HeatGenerated:DomesticHotWater,COP,COP (sanitised)
2023-10-21 00:00:00,2023-10-21,10475.6,7000,4000,3000,14475.6,10000,3.496514286,3.496514286
2023-10-22 00:00:00,2023-10-22,13000,6000,5000,4000,18000,10000,3.111111111,3.111111111
2023-10-23 00:00:00,2023-10-23,9999.9,8000,4000,3000,13999.9,11000,3.571414286,3.571414286
2023-10-24 00:00:00,2023-10-24,10524.6,8000,3475.6,4000,14000.1,12000,3.477995077,3.477995077
2023-10-25 00:00:00,2023-10-25,11000,5000,4524.4,2000,15524.4,7000,3.452332782,3.452332782
2023-10-26 00:00:00,2023-10-26,0,3950.6,0,2475.6,0,6426.1,2.595774762,2.595774762
2023-10-27 00:00:00,2023-10-27,0,4049.4,0,2524.4,0,6573.9,2.604143559,2.604143559
2023-10-28 00:00:00,2023-10-28,4475.6,5000,2000,2000,6475.6,7000,3.3689,3.3689
2023-10-29 00:00:00,2023-10-29,17524.4,5000,6000,3000,23524.4,8000,3.502711111,3.502711111
2023-10-30 00:00:00,2023-10-30,10000,6000,4000,3000,14000,9000,3.285714286,3.285714286
2023-10-31 00:00:00,2023-10-31,8000,6000,3000,2000,11000,8000,3.8,3.8
2023-11-01 00:00:00,2023-11-01,10000,7000,3475.6,4000,13475.6,11000,3.274064958,3.274064958
2023-11-02 00:00:00,2023-11-02,15475.4,6000,5524.4,3000,20999.9,9000,3.519297546,3.519297546
2023-11-03 00:00:00,2023-11-03,15000,8000,6000,4000,21000,12000,3.3,3.3
2023-11-04 00:00:00,2023-11-04,15000,5000,5475.6,3000,20475.6,8000,3.359714946,3.359714946
2023-11-05 00:00:00,2023-11-05,15524.6,9475.3,5524.4,4475.6,21049,13950.8,3.49998,3.49998
2023-11-06 00:00:00,2023-11-06,17475.4,5524.7,6000,3524.4,23475.4,9049.2,3.414871278,3.414871278
2023-11-07 00:00:00,2023-11-07,16475.4,5000,6000,2000,22475.4,7000,3.684425,3.684425
2023-11-08 00:00:00,2023-11-08,14000.3,8000,5000,4000,19000.3,12000,3.444477778,3.444477778
2023-11-09 00:00:00,2023-11-09,20048.9,5000,7000,3000,27048.9,8000,3.50489,3.50489
2023-11-10 00:00:00,2023-11-10,18475.4,6950.8,6475.6,3475.6,24951,10426.4,3.555088834,3.555088834
2023-11-11 00:00:00,2023-11-11,18999.9,7049.2,6524.4,4524.4,25524.3,11573.6,3.357640649,3.357640649
2023-11-12 00:00:00,2023-11-12,15524.7,11000,6000,5000,21524.7,16000,3.411336364,3.411336364
2023-11-13 00:00:00,2023-11-13,11475.4,7000,4000,3000,15475.4,10000,3.639342857,3.639342857
2023-11-14 00:00:00,2023-11-14,15000.1,7000,5000,3000,20000.1,10000,3.7500125,3.7500125
2023-11-15 00:00:00,2023-11-15,17426.9,8000,6000,4000,23426.9,12000,3.54269,3.54269
2023-11-16 00:00:00,2023-11-16,26000,5000,9000,3000,35000,8000,3.583333333,3.583333333
2023-11-17 00:00:00,2023-11-17,32000,7000,11000,3000,43000,10000,3.785714286,3.785714286
2023-11-18 00:00:00,2023-11-18,11334.8,8489.1,3870.5,4244.6,15205.3,12733.7,3.442841123,3.442841123
2023-11-19 00:00:00,2023-11-19,9762.7,9596.2,4129.5,3841,13892.2,13437.2,3.428818769,3.428818769
2023-11-20 00:00:00,2023-11-20,17000,8914.7,6000,3914.4,23000,12829.2,3.613854595,3.613854595
2023-11-21 00:00:00,2023-11-21,18576.1,4000,6000,3000,24576.1,7000,3.508455556,3.508455556
2023-11-22 00:00:00,2023-11-22,28423.9,6000,9000,3000,37423.9,9000,3.868658333,3.868658333
2023-11-23 00:00:00,2023-11-23,11576.1,9000,4000,4000,15576.1,13000,3.5720125,3.5720125
2023-11-24 00:00:00,2023-11-24,29576.1,8000,10576.4,4000,40152.5,12000,3.577872451,3.577872451
2023-11-25 00:00:00,2023-11-25,46000,7000,21576.4,5000,67576.4,12000,2.994250538,2.994250538
2023-11-26 00:00:00,2023-11-26,34423.9,6000,13847.2,3000,48271.1,9000,3.399443231,3.399443231
2023-11-27 00:00:00,2023-11-27,22576.1,7000,8000,3000,30576.1,10000,3.688736364,3.688736364
2023-11-28 00:00:00,2023-11-28,23000,7000,8576.4,5000,31576.4,12000,3.209716862,3.209716862
2023-11-29 00:00:00,2023-11-29,40547.2,5000,19123.3,4000,59670.6,9000,2.969757777,2.969757777
2023-11-30 00:00:00,2023-11-30,39699.4,8000,18000,5000,57699.4,13000,3.073886957,3.073886957
